label,sentence
0,Test Lead/Test Engineer/
0,Technical Integration Consultant/
0,Functional Consultant/
0,Configuration Environment Management Consultant
0,"Город и адрес офиса: Кипр, Никосия"
0,"Формат работы: гибрид, 2/3 дня в неделю в офисе"
0,Занятость: полная
0,"Зарплатная вилка: от 2000 до 5000€, возможно и больше в зависимости от опыта"
0,Описание вакансии: подробные описания в брошюре ниже
0,Название компании: Murex
0,Контакты: @jeipiem
0,Младший аналитик
0,"Москва, м. Водный стадион"
0,Гибридный-очный формат работы
0,Полная занятость
0,Зарплатная вилка: от 70 000 до 90 000 net
0,"В команду X-Sell нужен аналитик, который будет считать заниматься построением дашбордов, исследованием продаж на данных, выдвигать гипотезы по улучшению продаж, разбираться в больших данных."
0,Название компании: Тинькофф
0,Контакты: @eanoskov
0,Middle React Native Front-Ender
0,Название компании: CentiMeta Limited (CY)
0,Сайт продукта: centimeta.org
0,Формат работы: Удалёнка
0,"Занятость: Частичная (part-time) (3-4 часа в день, но лучше даже на полную, мы гибкие, поможем совмещать)"
0,"Зарплатная вилка: от 1500$ до 2500$ (первый пробный месяц, дальше увеличения на основе результатов) на руки."
0,Привет!
0,"Меня зовут Тим, CTO&CPO и основатель CentiMeta."
0,За последний год наш стартап поднял первый раунд инвестиций.
0,"CentiMeta — финтех компания, основанная с нуля год назад, которая работает на стыке финансовых рынков и новых финансовых инструментов."
0,"Наша команда состоит в основном из топовых выпусников вузов, Физтех, МГУ, ИТМО, РЭШ что позволяет быстро расти и расширять стартап."
0,"Приходите к нам, сейчас самое время!"
0,"У нас интересно, мы еще не большая корпорация, но уже не ""зелёный"" стартап."
0,"Сейчас мы продолжаем строить новые продукты, занимаемся передовым с точки зрения маркетинга построения приложений UX дизайном для повышение конверсии, другими сложными задачами, которые дают реальный эффект для бизнеса."
0,Технологии:
0,"React Native (без него никуда), Redux (желательно), React Native Reanimated (желательно)"
0,Контакты: пишите лично мне @eyov3.
0,"Кстати, абсолютно норм, если ты студент старших курсов."
0,"Да хоть младших, главное хотеть работать и создавать что-то."
0,"PS: Нужно закрыть вакансию до конца первой недели ноября, поэтому оффер возможен на следующий день после собеседования."
0,"Приоритет ФОПФ, ФИВТ (❤️) и ФУПМ."
0,Название компании: Сбер
0,Должность: C++/Python developer
0,Уровень: middle/senior
0,Занятость: полная (удаленки нет)
0,"Офис: Москва, Кутузовская 32"
0,"Вилка: middle 150-200к, senior 200-300к (если будет идеальный мэтч на собесе, то верхняя вилка может быть поднята)"
0,Описание вакансии:
0,"В команду компьютерного зрения требуется разработчик Python, C++."
0,"Команда занимается разработкой AI моделей видеоаналитики для внутренних нужд банка (обеспечение безопасности и комфорта посетителей и сотрудников банка, автоматизация контроля состояния объектов и т.д."
0,"), а также продукты для внешнего рынка (как в виде сервисов, так и hardware-решения)."
0,Обязанности:
0,Собирать пайплайны из различных моделей;
0,Оптимизировать пред- и постпроцессинг;
0,"Выполнять деплой моделей на различных устройствах, включая мелкосерийные одноплатные компьютеры."
0,Требования:
0,- Знание C++ и Python на продвинутом уровне;
0,- Навыки администрирования ОС Linux.
