label,sentence
7,Test Lead/Test Engineer/
7,Technical Integration Consultant/
7,Functional Consultant/
7,Configuration Environment Management Consultant
10,"Город и адрес офиса: Кипр, Никосия"
6,"Формат работы: гибрид, 2/3 дня в неделю в офисе"
13,Занятость: полная
12,"Зарплатная вилка: от 2000 до 5000€, возможно и больше в зависимости от опыта"
4,Описание вакансии: подробные описания в брошюре ниже
3,Название компании: Murex
1,Контакты: @jeipiem
7,Младший аналитик
10,"Москва, м. Водный стадион"
6,Гибридный-очный формат работы
13,Полная занятость
12,Зарплатная вилка: от 70 000 до 90 000 net
4,"В команду X-Sell нужен аналитик, который будет считать заниматься построением дашбордов, исследованием продаж на данных, выдвигать гипотезы по улучшению продаж, разбираться в больших данных."
3,Название компании: Тинькофф
1,Контакты: @eanoskov
7,Middle React Native Front-Ender
3,Название компании: CentiMeta Limited (CY)
14,Сайт продукта: centimeta.org
6,Формат работы: Удалёнка
13,"Занятость: Частичная (part-time) (3-4 часа в день, но лучше даже на полную, мы гибкие, поможем совмещать)"
12,"Зарплатная вилка: от 1500$ до 2500$ (первый пробный месяц, дальше увеличения на основе результатов) на руки."
0,Привет!
5,"Меня зовут Тим, CTO&CPO и основатель CentiMeta."
5,За последний год наш стартап поднял первый раунд инвестиций.
5,"CentiMeta — финтех компания, основанная с нуля год назад, которая работает на стыке финансовых рынков и новых финансовых инструментов."
5,"Наша команда состоит в основном из топовых выпусников вузов, Физтех, МГУ, ИТМО, РЭШ что позволяет быстро расти и расширять стартап."
5,"Приходите к нам, сейчас самое время!"
5,"У нас интересно, мы еще не большая корпорация, но уже не ""зелёный"" стартап."
5,"Сейчас мы продолжаем строить новые продукты, занимаемся передовым с точки зрения маркетинга построения приложений UX дизайном для повышение конверсии, другими сложными задачами, которые дают реальный эффект для бизнеса."
0,Технологии:
11,"React Native (без него никуда), Redux (желательно), React Native Reanimated (желательно)"
1,Контакты: пишите лично мне @eyov3.
15,"Кстати, абсолютно норм, если ты студент старших курсов."
15,"Да хоть младших, главное хотеть работать и создавать что-то."
15,"PS: Нужно закрыть вакансию до конца первой недели ноября, поэтому оффер возможен на следующий день после собеседования."
15,"Приоритет ФОПФ, ФИВТ (❤️) и ФУПМ."
3,Название компании: Сбер
7,Должность: C++/Python developer
13,Занятость: полная (удаленки нет)
10,"Офис: Москва, Кутузовская 32"
12,"Вилка: middle 150-200к, senior 200-300к (если будет идеальный мэтч на собесе, то верхняя вилка может быть поднята)"
0,Описание вакансии:
4,"В команду компьютерного зрения требуется разработчик Python, C++."
4,"Команда занимается разработкой AI моделей видеоаналитики для внутренних нужд банка (обеспечение безопасности и комфорта посетителей и сотрудников банка, автоматизация контроля состояния объектов и т.д."
4,"), а также продукты для внешнего рынка (как в виде сервисов, так и hardware-решения)."
0,Обязанности:
9,Собирать пайплайны из различных моделей;
9,Оптимизировать пред- и постпроцессинг;
9,"Выполнять деплой моделей на различных устройствах, включая мелкосерийные одноплатные компьютеры."
0,Требования:
11,- Знание C++ и Python на продвинутом уровне;
11,- Навыки администрирования ОС Linux.
11,"- Общее понимание компьютерного зрения, желателен опыт работы с OpenCV, ONNX, Torch;"
0,Плюсом будет:
11,"- Навык работы с GStreamer, Intel DL Streamer, NVIDIA DeepStream;"
11,- Опыт разработки систем массового обслуживания;
11,- Опыт сборки ядра Linux на ARM-устройствах.
1,По всем вопросам писать: @Nebeddag
15,"От себя могу добавить, что команда очень классная, задачки встречаются самые разные, сберовская бюррократия конечно же имеет место быть, но внутри нашего блока все довольно человечно."
15,Вид с 28ого этажа прикольный :)
0,Всем привет!
2,Ищем амбициозных Middle PHP + Laravel разработчиков!
12,Зарплатная вилка от 120.000 до 180.000 ₽
13,Занятость: проектная
3,Компания: Skweb
6,Формат: удаленка
4,"Мы работаем с онлайн-школами и корпоративными университетами, которым предоставляем платформу для организации процесса обучения."
4,Наша работа состоит в развитии уже готовой платформы.
4,"Ищем человека, который готов включиться в развитие таких платформ для онлайн-школ."
16,Основные используемые технологии на проекте:
16,Back-end: PHP+Laravel
16,Front-end: JS+Vue.js
16,СУБД: PostgreSQL/MySQL
16,Общение: Telegram/Discord
9,Чем вы будете заниматься:
9," ⁃ Разрабатывать и поддерживать микросервисы продукта;"
9," ⁃ Проектировать микросервисы;"
9," ⁃ Поддерживать и развивать текущий функционал, а также писать новый;"
9," ⁃ Покрытие кода тестами;"
9," ⁃ Участвовать в обсуждении новой функциональности;"
9," ⁃ Проектировать СУБД."
11,Чего мы ждем от вас:
11," ⁃ Хорошие знания PHP, Laravel, MySQL или PostgresSQL;"
11," ⁃ Понимание принципов построения REST;"
